name,calories_per_100g,carbohydrates_g,protein_g,fats_g,free_sugar_g,fiber_g,sodium_mg,calcium_mg,iron_mg,vitamin_c_mg,folate_mcg
"Rice (White, cooked)",130,28.7,2.4,0.2,0,0.4,1,10,0.8,0,8
"Wheat Flour (whole)",340,72,12,1.5,2.5,12.2,2,41,4.6,0,44
"Dal (Toor, cooked)",118,22.3,8.8,0.7,1.2,5.1,2,27,2.7,1.8,45
"Chicken (skinless, cooked)",165,0,31,3.6,0,0,74,11,0.9,0,4
"Paneer",265,3.6,20.8,20.8,3.6,0,18,714,0.2,0,28
"Potato (boiled)",87,20,1.9,0.1,0.8,1.8,6,5,0.3,13,10
"Tomato",18,3.9,0.9,0.2,2.6,1.2,5,10,0.3,13.7,15
"Onion",40,9.3,1.1,0.1,4.2,1.7,4,23,0.2,7.4,19
"Spinach (cooked)",23,3.6,2.9,0.4,0.4,2.2,79,99,2.7,28.1,194
"Carrot",41,9.6,0.9,0.2,4.7,2.8,69,33,0.3,5.9,19
"Banana",89,22.8,1.1,0.3,12.2,2.6,1,5,0.3,8.7,20
"Apple",52,13.8,0.3,0.2,10.4,2.4,1,6,0.1,4.6,3
"Milk (whole)",60,4.8,3.2,3.2,4.8,0,44,113,0.0,0,5
"Yogurt (plain)",61,4.7,3.5,3.3,4.7,0,36,110,0.1,0.5,7
"Ghee",884,0,0,99.5,0,0,0,2,0.0,0,0
"Sugar",387,100,0,0,99.98,0,0,1,0.1,0,0
"Salt",0,0,0,0,0,0,38758,368,33.3,0,0
"Ginger",80,17.8,1.8,0.8,1.7,2,13,16,0.6,5,11
"Garlic",149,33,6.4,0.5,1,2.1,17,181,1.7,31.2,3
"Turmeric powder",354,64.9,7.8,9.9,3.2,21,38,183,41.4,25.9,7
"Cumin seeds",375,44.2,17.8,22.3,2.2,10.5,168,931,66.4,7.7,10
"Coriander seeds",298,55,12.4,17.8,0,42,35,709,16.3,21,0
"Red chili powder",282,54.7,12,17.3,10.3,28.7,91,370,17.5,76.4,0
"Green chili",40,9.5,2,0.2,5.3,7.4,18,30,1.2,242.5,23
"Coconut (fresh)",354,15.2,3.3,33.5,6.2,9,20,14,2.4,3.3,26
"Mustard oil",884,0,0,100,0,0,0,0,0,0,0
"Lemon",29,9.3,1.1,0.3,1.5,4.7,2,26,0.6,53,9
"Mint leaves",44,8.4,3.3,0.7,0,6.8,31,243,5.1,31.8,114
"Curd rice",95,16.2,3.8,1.8,2.1,0.3,25,89,0.4,1.2,6
"Samosa",308,27,5.4,20.6,1.8,3.2,422,23,1.2,2.1,15
"Dosa",133,25.1,4.1,2.6,0.8,1.4,189,15,1.8,0,22
